,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
280,3.54574435365735e-30,0.959349850636729,0.801,0.532,6.59224790231975e-26,13,Ifi27l2a
281,1.55351234798697e-15,0.37328319862409,0.393,0.136,2.88829015737738e-11,14,Mmp13
282,7.02555508370741e-14,0.486512365586306,1,0.999,1.30619120116288e-09,14,Actb
283,1.64616413298003e-13,1.01802923659652,0.938,0.776,3.06054835603647e-09,14,Spp1
284,2.05014327277813e-12,0.35753394301877,1,0.984,3.81162637274911e-08,14,Mgp
285,2.56075904054618e-12,0.507378140620808,0.92,0.877,4.76096320818346e-08,14,Itm2a
286,2.74366955336501e-12,0.58512766042277,0.893,0.668,5.10103043361623e-08,14,Ccnd1
287,1.12302009277329e-10,0.636070331919743,0.991,0.976,2.08791895648409e-06,14,Timp1
288,6.96175985554968e-10,0.312295392397925,0.991,0.985,1.2943303923438e-05,14,Timp2
289,1.02734400356138e-08,0.310811384680888,0.955,0.895,0.000191003797142132,14,Ccnd2
290,1.2041085591039e-08,0.462883764233039,0.777,0.553,0.000223867863308597,14,Abi3bp
291,1.30187706047565e-08,0.546162397522298,0.339,0.143,0.000242044983083633,14,Col2a1
292,2.85579728901867e-08,0.517492710279981,0.732,0.473,0.000530949831974351,14,Tnfrsf12a
293,3.53291418659578e-08,0.300552612422456,1,0.996,0.000656839405571887,14,Col1a1
294,2.41667381038588e-07,0.342684294507037,1,0.997,0.00449307994826942,14,Tpm1
295,1.75625626095844e-06,0.42540943937418,0.991,0.975,0.0326523164037393,14,Tagln
296,7.433494708204e-06,0.385739178794029,0.911,0.788,0.138203533614929,14,Slc39a1
297,2.71127910436949e-05,0.359954557955902,0.929,0.843,0.504081011084376,14,Insig1
298,9.52772545543458e-05,0.300421355801568,0.277,0.151,1,14,Il1rl1
299,0.000321242774378268,0.316487581145252,0.616,0.478,1,14,Slc20a1
300,0.000707412380850379,0.32567108978245,0.67,0.506,1,14,Notch2
301,0,4.83721150818959,1,0.01,0,15,Fcer1g
302,0,4.52419504550049,0.917,0.002,0,15,C1qa
303,0,4.51020529718894,1,0.002,0,15,Tyrobp
304,0,4.42996646011832,0.917,0.002,0,15,C1qb
305,0,4.16909133774484,0.958,0.007,0,15,Pf4
306,0,3.5984781985709,0.958,0.002,0,15,C1qc
307,0,3.59329556941029,0.917,0.009,0,15,Mrc1
308,0,3.31406545220864,1,0.012,0,15,Cd68
309,0,3.07157292950223,0.917,0.001,0,15,Ms4a7
310,0,3.05686140546218,1,0.015,0,15,Lcp1
311,0,3.02776132711392,0.958,0.003,0,15,Trem2
312,0,2.94480500996508,0.917,0.002,0,15,Ccl12
313,6.16574358073387e-40,4.55651040231502,0.917,0.126,1.14633504653004e-35,15,Ccl2
314,1.47425243135589e-37,6.73472138846918,1,0.172,2.74093012037687e-33,15,Lyz2
315,5.68972231718437e-20,3.8283735704582,0.917,0.305,1.05783317321092e-15,15,Ccl7
316,1.58418653642822e-17,4.06249533682063,1,0.651,2.94531960852734e-13,15,Lgals3
317,1.10291312710686e-16,3.11740035095979,1,0.998,2.05053608591707e-12,15,Fth1
318,4.39271759963122e-16,3.37862937051456,1,0.938,8.16694056123437e-12,15,Ctsb
319,6.06888389068599e-09,3.29120258999862,1,0.777,0.000112832689295634,15,Spp1
320,8.49458349183201e-06,3.00920002632943,0.708,0.587,0.157931296280141,15,Apoe
321,3.82331825383875e-14,5.05288159574159,1,0.988,7.108313297537e-10,16,Malat1
322,1.58725101866044e-13,3.27516265662686,1,0.996,2.95101709389348e-09,16,Gm42418
323,5.50923994716925e-11,3.40258680771599,0.952,0.917,1.02427789097771e-06,16,Neat1
324,6.01696888154769e-09,2.38938584517073,0.857,0.864,0.000111867485445735,16,Arglu1
325,1.83356405541532e-08,2.88628623963383,0.81,0.622,0.000340896229182816,16,Zcchc7
